"filename_stem","fm","n_iter","threshold","n_components"
"step_01_minus_mdib_neg_int_remember_1b","minres",100,"random_data_mean",1
"step_01_minus_mdib_neg_int_remember_1b","minres",100,"resampled_data_mean",1
