$nf2
                               f1     f2
mdib_ben_ext_server_2b      0.480 -0.302
mdib_ben_ext_server_2c      0.220  0.169
mdib_ben_ext_reminder_3a    0.447 -0.266
mdib_ben_ext_reminder_3b    0.596  0.115
mdib_ben_ext_neighbor_5b    0.553  0.050
mdib_ben_ext_neighbor_5c    0.483  0.249
mdib_ben_ext_exercise_7b    0.406  0.469
mdib_ben_ext_exercise_7c    0.570  0.481
mdib_ben_ext_walk_9a        0.431 -0.214
mdib_ben_ext_walk_9b        0.568 -0.059
mdib_ben_ext_job_10b        0.182  0.057
mdib_ben_ext_job_10c        0.604 -0.184
mdib_ben_ext_stumble_11a    0.393 -0.118
mdib_ben_ext_stumble_11b    0.082 -0.090
mdib_ben_int_remember_1a    0.046  0.167
mdib_ben_int_remember_1c    0.377 -0.140
mdib_ben_int_cleaning_4a    0.505  0.139
mdib_ben_int_cleaning_4b    0.540 -0.232
mdib_ben_int_email_6a       0.482  0.152
mdib_ben_int_email_6c       0.206 -0.013
mdib_ben_int_medication_8a  0.565 -0.005
mdib_ben_int_medication_8c  0.481  0.108
mdib_ben_int_cough_12a      0.467 -0.146
mdib_ben_int_cough_12c     -0.176  0.597
mdib_neg_ext_server_2a     -0.100  0.763
mdib_neg_ext_reminder_3c   -0.136  0.551
mdib_neg_ext_neighbor_5a   -0.059  0.650
mdib_neg_ext_exercise_7a    0.328  0.509
mdib_neg_ext_walk_9c        0.020  0.887
mdib_neg_ext_job_10a        0.247  0.791
mdib_neg_ext_stumble_11c    0.082  0.698
mdib_neg_int_remember_1b   -0.319  0.261
mdib_neg_int_cleaning_4c   -0.210  0.703
mdib_neg_int_email_6b      -0.017  0.738
mdib_neg_int_medication_8b -0.062  0.709
mdib_neg_int_cough_12b     -0.051  0.704

$nf3
                               f1     f2     f3
mdib_ben_ext_server_2b     -0.026  0.501 -0.269
mdib_ben_ext_server_2c      0.345  0.127  0.149
mdib_ben_ext_reminder_3a    0.297  0.374 -0.275
mdib_ben_ext_reminder_3b    0.432  0.503  0.096
mdib_ben_ext_neighbor_5b    0.360  0.474  0.042
mdib_ben_ext_neighbor_5c   -0.159  0.556  0.308
mdib_ben_ext_exercise_7b   -0.110  0.455  0.507
mdib_ben_ext_exercise_7c   -0.048  0.617  0.528
mdib_ben_ext_walk_9a        0.127  0.407 -0.206
mdib_ben_ext_walk_9b        0.010  0.591 -0.023
mdib_ben_ext_job_10b        0.429  0.065  0.023
mdib_ben_ext_job_10c        0.042  0.610 -0.150
mdib_ben_ext_stumble_11a    0.355  0.306 -0.139
mdib_ben_ext_stumble_11b    0.463 -0.051 -0.151
mdib_ben_int_remember_1a    0.416 -0.077  0.115
mdib_ben_int_remember_1c   -0.170  0.441 -0.102
mdib_ben_int_cleaning_4a    0.334  0.427  0.132
mdib_ben_int_cleaning_4b    0.046  0.544 -0.206
mdib_ben_int_email_6a       0.028  0.497  0.180
mdib_ben_int_email_6c       0.118  0.177 -0.016
mdib_ben_int_medication_8a  0.194  0.530  0.007
mdib_ben_int_medication_8c  0.066  0.482  0.130
mdib_ben_int_cough_12a     -0.026  0.499 -0.109
mdib_ben_int_cough_12c     -0.230 -0.107  0.628
mdib_neg_ext_server_2a      0.265 -0.170  0.730
mdib_neg_ext_reminder_3c   -0.188 -0.069  0.596
mdib_neg_ext_neighbor_5a   -0.002 -0.053  0.652
mdib_neg_ext_exercise_7a    0.137  0.307  0.516
mdib_neg_ext_walk_9c       -0.076  0.072  0.919
mdib_neg_ext_job_10a       -0.025  0.276  0.823
mdib_neg_ext_stumble_11c   -0.059  0.109  0.710
mdib_neg_int_remember_1b   -0.073 -0.307  0.254
mdib_neg_int_cleaning_4c    0.202 -0.268  0.661
mdib_neg_int_email_6b       0.348 -0.114  0.690
mdib_neg_int_medication_8b  0.354 -0.170  0.645
mdib_neg_int_cough_12b      0.345 -0.164  0.637

$nf4
                               f1     f2     f3     f4
mdib_ben_ext_server_2b      0.260  0.236 -0.167 -0.274
mdib_ben_ext_server_2c      0.650 -0.443  0.046  0.243
mdib_ben_ext_reminder_3a    0.435  0.160  0.147 -0.264
mdib_ben_ext_reminder_3b    0.755 -0.029  0.118  0.141
mdib_ben_ext_neighbor_5b    0.510  0.199  0.175  0.051
mdib_ben_ext_neighbor_5c    0.168  0.221 -0.336  0.295
mdib_ben_ext_exercise_7b    0.167  0.123 -0.286  0.500
mdib_ben_ext_exercise_7c    0.350  0.116 -0.316  0.534
mdib_ben_ext_walk_9a        0.027  0.581  0.194 -0.272
mdib_ben_ext_walk_9b       -0.113  0.857  0.098 -0.104
mdib_ben_ext_job_10b        0.176  0.262  0.481  0.001
mdib_ben_ext_job_10c        0.136  0.570 -0.015 -0.200
mdib_ben_ext_stumble_11a    0.558 -0.059  0.126 -0.102
mdib_ben_ext_stumble_11b    0.145  0.218  0.560 -0.174
mdib_ben_int_remember_1a    0.243 -0.025  0.405  0.129
mdib_ben_int_remember_1c    0.247  0.005 -0.392 -0.080
mdib_ben_int_cleaning_4a    0.523  0.092  0.121  0.150
mdib_ben_int_cleaning_4b    0.408  0.143 -0.178 -0.194
mdib_ben_int_email_6a       0.370  0.066 -0.215  0.198
mdib_ben_int_email_6c       0.204  0.042  0.032 -0.009
mdib_ben_int_medication_8a  0.174  0.585  0.188 -0.034
mdib_ben_int_medication_8c  0.119  0.433  0.000  0.090
mdib_ben_int_cough_12a      0.369  0.054 -0.276 -0.088
mdib_ben_int_cough_12c     -0.411  0.143 -0.097  0.587
mdib_neg_ext_server_2a      0.250 -0.383  0.144  0.777
mdib_neg_ext_reminder_3c   -0.418  0.280  0.006  0.546
mdib_neg_ext_neighbor_5a   -0.089 -0.009  0.025  0.640
mdib_neg_ext_exercise_7a    0.038  0.390  0.135  0.479
mdib_neg_ext_walk_9c        0.060 -0.223 -0.249  0.942
mdib_neg_ext_job_10a        0.125  0.022 -0.163  0.819
mdib_neg_ext_stumble_11c   -0.023  0.016 -0.107  0.700
mdib_neg_int_remember_1b   -0.339  0.018  0.117  0.228
mdib_neg_int_cleaning_4c   -0.073 -0.086  0.282  0.656
mdib_neg_int_email_6b       0.057  0.078  0.425  0.674
mdib_neg_int_medication_8b  0.083 -0.032  0.399  0.640
mdib_neg_int_cough_12b      0.131 -0.104  0.349  0.644

